iter	Passed	Remaining
0	207	207428
1	227	113591
2	250	83231
3	276	68921
4	297	59240
5	321	53332
6	360	51088
7	395	49055
8	433	47767
9	474	47015
10	503	45262
11	523	43130
12	542	41215
13	566	39891
14	585	38467
15	606	37282
16	626	36223
17	649	35438
18	669	34592
19	689	33794
20	717	33454
21	738	32810
22	757	32171
23	778	31676
24	799	31169
25	823	30858
26	852	30719
27	883	30685
28	914	30627
29	951	30753
30	981	30685
31	1009	30537
32	1030	30191
33	1049	29828
34	1075	29661
35	1100	29481
36	1125	29292
37	1148	29076
38	1168	28783
39	1189	28554
40	1211	28332
41	1233	28134
42	1267	28213
43	1293	28109
44	1315	27924
45	1337	27729
46	1367	27721
47	1397	27723
48	1424	27641
49	1455	27660
50	1481	27564
51	1498	27327
52	1521	27185
53	1550	27167
54	1585	27245
55	1623	27359
56	1648	27279
57	1689	27436
58	1717	27392
59	1751	27437
60	1792	27594
61	1836	27779
62	1875	27890
63	1912	27971
64	1937	27875
65	1962	27769
66	1983	27627
67	2014	27617
68	2040	27537
69	2071	27520
70	2098	27454
71	2130	27455
72	2161	27447
73	2185	27353
74	2218	27358
75	2249	27347
76	2279	27323
77	2307	27279
78	2340	27286
79	2379	27359
80	2408	27329
81	2433	27242
82	2461	27196
83	2488	27136
84	2514	27070
85	2542	27022
86	2572	26992
87	2600	26955
88	2636	26991
89	2667	26973
90	2693	26905
91	2722	26873
92	2747	26797
93	2765	26656
94	2793	26608
95	2820	26560
96	2842	26464
97	2869	26414
98	2902	26417
99	2936	26430
100	2962	26370
101	2990	26332
102	3024	26337
103	3055	26327
104	3078	26237
105	3105	26192
106	3133	26155
107	3175	26228
108	3208	26231
109	3241	26222
110	3272	26212
111	3301	26172
112	3324	26098
113	3356	26089
114	3391	26100
115	3423	26090
116	3454	26072
117	3485	26052
118	3514	26018
119	3538	25945
120	3564	25892
121	3588	25827
122	3620	25813
123	3648	25777
124	3670	25694
125	3697	25649
126	3718	25559
127	3738	25469
128	3759	25381
129	3779	25292
130	3798	25200
131	3818	25106
132	3837	25018
133	3857	24926
134	3876	24839
135	3897	24757
136	3918	24685
137	3939	24608
138	3959	24525
139	3979	24445
140	3997	24354
141	4024	24314
142	4047	24254
143	4068	24184
144	4089	24111
145	4110	24042
146	4129	23964
147	4153	23908
148	4182	23887
149	4204	23824
150	4229	23780
151	4250	23710
152	4269	23638
153	4288	23559
154	4309	23491
155	4327	23412
156	4345	23333
157	4362	23247
158	4384	23190
159	4403	23120
160	4424	23056
161	4444	22993
162	4466	22935
163	4486	22870
164	4500	22774
165	4521	22716
166	4553	22711
167	4581	22690
168	4603	22634
169	4619	22553
170	4643	22513
171	4657	22423
172	4679	22371
173	4700	22315
174	4723	22266
175	4744	22210
176	4757	22122
177	4779	22069
178	4797	22002
179	4818	21952
180	4839	21895
181	4859	21843
182	4880	21790
183	4904	21751
184	4926	21701
185	4948	21656
186	4965	21590
187	4987	21543
188	5007	21489
189	5027	21431
190	5045	21371
191	5065	21319
192	5082	21251
193	5104	21208
194	5121	21143
195	5144	21104
196	5165	21057
197	5187	21012
198	5213	20985
199	5234	20938
200	5257	20899
201	5281	20866
202	5304	20824
203	5325	20780
204	5345	20730
205	5364	20676
206	5385	20631
207	5400	20561
208	5421	20520
209	5447	20494
210	5465	20436
211	5486	20394
212	5503	20334
213	5525	20293
214	5547	20253
215	5571	20222
216	5593	20182
217	5615	20142
218	5641	20117
219	5664	20084
220	5690	20059
221	5709	20007
222	5738	19994
223	5764	19968
224	5788	19936
225	5816	19918
226	5836	19873
227	5851	19811
228	5868	19759
229	5884	19701
230	5907	19666
231	5928	19625
232	5949	19584
233	5974	19556
234	5997	19525
235	6015	19472
236	6035	19432
237	6059	19402
238	6089	19388
239	6110	19351
240	6133	19315
241	6153	19275
242	6173	19232
243	6194	19192
244	6220	19170
245	6241	19131
246	6263	19095
247	6283	19053
248	6305	19018
249	6330	18992
250	6352	18955
251	6372	18915
252	6398	18891
253	6417	18847
254	6437	18808
255	6460	18775
256	6489	18761
257	6524	18765
258	6549	18738
259	6581	18732
260	6617	18736
261	6645	18719
262	6679	18717
263	6711	18711
264	6752	18729
265	6797	18757
266	6829	18749
267	6856	18726
268	6882	18702
269	6912	18688
270	6937	18662
271	6965	18641
272	6992	18620
273	7023	18608
274	7054	18598
275	7080	18574
276	7108	18553
277	7135	18531
278	7156	18494
279	7184	18475
280	7212	18455
281	7238	18431
282	7263	18402
283	7292	18385
284	7317	18358
285	7344	18334
286	7373	18317
287	7395	18284
288	7412	18236
289	7427	18184
290	7440	18127
291	7452	18069
292	7472	18031
293	7488	17982
294	7499	17923
295	7513	17870
296	7524	17809
297	7539	17761
298	7549	17700
299	7561	17642
300	7572	17586
301	7589	17542
302	7610	17507
303	7632	17474
304	7654	17442
305	7670	17396
306	7682	17342
307	7706	17315
308	7729	17285
309	7753	17258
310	7776	17228
311	7799	17199
312	7825	17176
313	7851	17152
314	7876	17128
315	7914	17131
316	7939	17105
317	7960	17072
318	7984	17046
319	8009	17021
320	8038	17003
321	8055	16961
322	8075	16925
323	8099	16899
324	8117	16859
325	8135	16819
326	8147	16767
327	8158	16714
328	8167	16657
329	8175	16599
330	8184	16542
331	8193	16486
332	8205	16436
333	8214	16379
334	8223	16323
335	8232	16268
336	8241	16213
337	8249	16157
338	8258	16103
339	8267	16049
340	8276	15994
341	8285	15941
342	8294	15887
343	8303	15834
344	8311	15779
345	8320	15726
346	8328	15673
347	8337	15621
348	8346	15569
349	8355	15517
350	8366	15469
351	8374	15417
352	8383	15365
353	8402	15333
354	8423	15303
355	8445	15277
356	8466	15249
357	8477	15203
358	8490	15159
359	8508	15126
360	8528	15095
361	8543	15058
362	8562	15026
363	8580	14993
364	8590	14945
365	8602	14901
366	8612	14854
367	8628	14819
368	8642	14778
369	8653	14734
370	8663	14688
371	8672	14640
372	8681	14593
373	8691	14548
374	8701	14502
375	8710	14456
376	8720	14410
377	8728	14363
378	8737	14317
379	8747	14272
380	8756	14225
381	8765	14180
382	8774	14135
383	8783	14089
384	8792	14044
385	8802	14001
386	8811	13957
387	8819	13911
388	8829	13867
389	8838	13824
390	8848	13781
391	8856	13737
392	8866	13695
393	8876	13652
394	8885	13610
395	8895	13568
396	8905	13526
397	8914	13484
398	8924	13442
399	8934	13402
400	8945	13362
401	8955	13321
402	8966	13282
403	8976	13243
404	8987	13204
405	8996	13162
406	9005	13120
407	9015	13081
408	9024	13040
409	9032	12998
410	9043	12960
411	9052	12919
412	9061	12878
413	9069	12837
414	9078	12797
415	9088	12758
416	9097	12718
417	9105	12678
418	9115	12639
419	9126	12603
420	9143	12575
421	9160	12546
422	9168	12506
423	9178	12468
424	9186	12428
425	9197	12392
426	9206	12354
427	9215	12315
428	9224	12277
429	9245	12255
430	9259	12224
431	9274	12193
432	9289	12164
433	9306	12136
434	9325	12112
435	9337	12079
436	9349	12045
437	9361	12011
438	9373	11977
439	9389	11950
440	9401	11917
441	9421	11894
442	9434	11862
443	9444	11827
444	9456	11794
445	9474	11769
446	9491	11741
447	9506	11713
448	9527	11691
449	9542	11663
450	9552	11628
451	9565	11597
452	9582	11571
453	9601	11547
454	9616	11518
455	9626	11484
456	9636	11449
457	9647	11416
458	9656	11381
459	9665	11346
460	9675	11312
461	9685	11278
462	9695	11244
463	9705	11211
464	9713	11176
465	9726	11146
466	9740	11117
467	9755	11089
468	9770	11061
469	9788	11037
470	9807	11015
471	9825	10991
472	9844	10968
473	9856	10937
474	9875	10915
475	9888	10885
476	9929	10886
477	9961	10878
478	9984	10859
479	9994	10827
480	10006	10796
481	10015	10763
482	10023	10729
483	10034	10698
484	10042	10663
485	10050	10629
486	10058	10595
487	10068	10563
488	10083	10536
489	10096	10509
490	10116	10487
491	10180	10511
492	10227	10517
493	10242	10491
494	10251	10458
495	10261	10426
496	10275	10399
497	10284	10367
498	10294	10335
499	10302	10302
500	10312	10271
501	10321	10239
502	10329	10206
503	10337	10173
504	10349	10144
505	10367	10121
506	10383	10097
507	10398	10070
508	10420	10052
509	10432	10023
510	10446	9996
511	10465	9974
512	10484	9953
513	10502	9930
514	10516	9903
515	10542	9888
516	10562	9867
517	10617	9879
518	10669	9888
519	10694	9871
520	10707	9844
521	10722	9818
522	10730	9787
523	10740	9756
524	10757	9732
525	10778	9712
526	10799	9692
527	10824	9676
528	10843	9654
529	10873	9642
530	10887	9616
531	10906	9594
532	10923	9570
533	10942	9549
534	10957	9524
535	10982	9507
536	11008	9491
537	11049	9488
538	11066	9465
539	11080	9438
540	11093	9411
541	11104	9383
542	11114	9354
543	11124	9325
544	11134	9296
545	11151	9272
546	11163	9244
547	11173	9216
548	11184	9188
549	11192	9157
550	11201	9127
551	11210	9098
552	11218	9067
553	11227	9038
554	11236	9009
555	11246	8981
556	11256	8952
557	11265	8923
558	11274	8894
559	11283	8865
560	11292	8836
561	11301	8807
562	11310	8778
563	11319	8750
564	11327	8721
565	11337	8693
566	11345	8664
567	11354	8635
568	11363	8607
569	11373	8579
570	11382	8551
571	11392	8524
572	11408	8501
573	11423	8478
574	11434	8451
575	11445	8425
576	11468	8407
577	11480	8382
578	11497	8360
579	11515	8338
580	11535	8318
581	11555	8299
582	11569	8275
583	11582	8250
584	11594	8225
585	11607	8200
586	11618	8174
587	11629	8148
588	11640	8122
589	11652	8097
590	11663	8071
591	11673	8045
592	11684	8019
593	11697	7995
594	11709	7970
595	11721	7945
596	11733	7920
597	11744	7894
598	11754	7869
599	11764	7843
600	11776	7818
601	11788	7793
602	11799	7768
603	11809	7742
604	11821	7717
605	11832	7693
606	11842	7667
607	11854	7642
608	11863	7616
609	11872	7590
610	11883	7565
611	11893	7540
612	11903	7514
613	11914	7490
614	11925	7465
615	11936	7440
616	11947	7416
617	11966	7396
618	11983	7375
619	11995	7352
620	12006	7327
621	12019	7304
622	12030	7280
623	12041	7255
624	12052	7231
625	12063	7207
626	12089	7191
627	12104	7170
628	12116	7146
629	12128	7122
630	12136	7097
631	12147	7073
632	12158	7048
633	12168	7024
634	12182	7002
635	12194	6979
636	12202	6953
637	12217	6932
638	12236	6913
639	12256	6894
640	12276	6875
641	12296	6856
642	12316	6838
643	12339	6821
644	12359	6802
645	12380	6784
646	12402	6766
647	12420	6747
648	12444	6730
649	12472	6716
650	12492	6697
651	12513	6678
652	12534	6660
653	12559	6644
654	12584	6628
655	12606	6610
656	12628	6592
657	12647	6573
658	12669	6556
659	12690	6537
660	12711	6518
661	12730	6500
662	12751	6481
663	12772	6463
664	12791	6443
665	12810	6424
666	12832	6406
667	12853	6388
668	12874	6369
669	12895	6351
670	12915	6332
671	12935	6313
672	12953	6293
673	12976	6276
674	13003	6260
675	13025	6242
676	13042	6222
677	13065	6204
678	13091	6189
679	13115	6172
680	13136	6153
681	13157	6134
682	13181	6117
683	13201	6099
684	13221	6079
685	13243	6062
686	13263	6042
687	13282	6023
688	13302	6004
689	13323	5985
690	13344	5967
691	13365	5949
692	13382	5928
693	13403	5910
694	13423	5890
695	13444	5872
696	13463	5852
697	13484	5834
698	13505	5815
699	13524	5796
700	13549	5779
701	13569	5760
702	13595	5743
703	13615	5724
704	13639	5707
705	13668	5691
706	13695	5675
707	13714	5656
708	13733	5636
709	13753	5617
710	13771	5597
711	13792	5579
712	13812	5560
713	13832	5540
714	13853	5521
715	13873	5502
716	13909	5489
717	13945	5477
718	13964	5457
719	13989	5440
720	14014	5423
721	14036	5404
722	14056	5385
723	14078	5366
724	14104	5350
725	14126	5331
726	14146	5312
727	14173	5295
728	14191	5275
729	14209	5255
730	14230	5236
731	14250	5217
732	14271	5198
733	14292	5179
734	14313	5160
735	14336	5142
736	14355	5122
737	14377	5104
738	14394	5083
739	14414	5064
740	14432	5044
741	14452	5025
742	14473	5006
743	14496	4987
744	14517	4969
745	14538	4950
746	14559	4931
747	14579	4911
748	14601	4893
749	14620	4873
750	14641	4854
751	14662	4835
752	14691	4819
753	14707	4798
754	14724	4778
755	14745	4758
756	14766	4740
757	14789	4721
758	14811	4702
759	14828	4682
760	14850	4664
761	14869	4644
762	14889	4624
763	14912	4606
764	14933	4587
765	14960	4570
766	14987	4552
767	15008	4533
768	15027	4513
769	15047	4494
770	15064	4474
771	15085	4455
772	15108	4436
773	15126	4416
774	15150	4398
775	15165	4377
776	15185	4358
777	15207	4339
778	15227	4320
779	15246	4300
780	15267	4281
781	15287	4261
782	15307	4242
783	15329	4223
784	15350	4204
785	15369	4184
786	15390	4165
787	15412	4146
788	15432	4126
789	15453	4108
790	15471	4087
791	15491	4068
792	15509	4048
793	15532	4029
794	15556	4011
795	15577	3992
796	15600	3973
797	15621	3954
798	15642	3935
799	15663	3915
800	15677	3894
801	15698	3875
802	15717	3855
803	15743	3838
804	15763	3818
805	15781	3798
806	15804	3779
807	15826	3760
808	15848	3741
809	15868	3722
810	15885	3701
811	15907	3682
812	15929	3664
813	15952	3645
814	15981	3627
815	16004	3608
816	16033	3591
817	16055	3572
818	16078	3553
819	16102	3534
820	16124	3515
821	16147	3496
822	16169	3477
823	16190	3458
824	16214	3439
825	16234	3419
826	16265	3402
827	16298	3385
828	16323	3367
829	16353	3349
830	16390	3333
831	16425	3316
832	16462	3300
833	16490	3282
834	16519	3264
835	16545	3245
836	16587	3230
837	16618	3212
838	16650	3195
839	16683	3177
840	16711	3159
841	16739	3141
842	16766	3122
843	16795	3104
844	16824	3086
845	16850	3067
846	16866	3046
847	16894	3028
848	16924	3010
849	16959	2992
850	17010	2978
851	17048	2961
852	17081	2943
853	17106	2924
854	17137	2906
855	17172	2888
856	17187	2867
857	17223	2850
858	17235	2829
859	17243	2807
860	17253	2785
861	17268	2764
862	17285	2744
863	17301	2723
864	17319	2702
865	17346	2684
866	17377	2665
867	17404	2646
868	17428	2627
869	17457	2608
870	17484	2589
871	17513	2570
872	17539	2551
873	17567	2532
874	17597	2513
875	17621	2494
876	17635	2473
877	17662	2454
878	17683	2434
879	17705	2414
880	17732	2395
881	17759	2376
882	17786	2356
883	17813	2337
884	17843	2318
885	17871	2299
886	17920	2282
887	17937	2262
888	17954	2241
889	17975	2221
890	17986	2200
891	17998	2179
892	18013	2158
893	18025	2137
894	18039	2116
895	18068	2097
896	18098	2078
897	18124	2058
898	18150	2039
899	18177	2019
900	18203	2000
901	18230	1980
902	18256	1961
903	18278	1941
904	18306	1921
905	18332	1902
906	18363	1882
907	18395	1863
908	18410	1843
909	18433	1823
910	18454	1802
911	18474	1782
912	18495	1762
913	18517	1742
914	18539	1722
915	18564	1702
916	18587	1682
917	18607	1662
918	18632	1642
919	18654	1622
920	18674	1601
921	18695	1581
922	18715	1561
923	18735	1541
924	18757	1520
925	18779	1500
926	18797	1480
927	18819	1460
928	18841	1440
929	18863	1419
930	18887	1399
931	18908	1379
932	18929	1359
933	18948	1338
934	18976	1319
935	18998	1299
936	19022	1278
937	19043	1258
938	19064	1238
939	19086	1218
940	19110	1198
941	19130	1177
942	19152	1157
943	19178	1137
944	19198	1117
945	19218	1097
946	19236	1076
947	19257	1056
948	19278	1036
949	19298	1015
950	19322	995
951	19342	975
952	19366	955
953	19386	934
954	19410	914
955	19432	894
956	19451	874
957	19472	853
958	19494	833
959	19516	813
960	19538	792
961	19563	772
962	19587	752
963	19607	732
964	19627	711
965	19651	691
966	19672	671
967	19692	650
968	19712	630
969	19732	610
970	19753	589
971	19774	569
972	19797	549
973	19818	529
974	19839	508
975	19863	488
976	19885	468
977	19908	447
978	19931	427
979	19956	407
980	19978	386
981	20002	366
982	20023	346
983	20047	325
984	20068	305
985	20090	285
986	20112	264
987	20132	244
988	20155	224
989	20182	203
990	20204	183
991	20224	163
992	20243	142
993	20265	122
994	20285	101
995	20306	81
996	20324	61
997	20345	40
998	20366	20
999	20388	0
